pitch,start,end,tonalTechnique,articulation,stringId,position,finger
61,18.715909,18.761364,,spiccato,0,1,3
59,18.813636,18.865909,,spiccato,0,1,2
66,18.918182,18.965909,,spiccato,1,1,2
75,19.011364,19.052273,,spiccato,2,1,3
83,19.093182,19.134091,,spiccato,3,3,2
87,19.179545,19.336364,,staccato,3,3,4
90,19.434091,19.747727,,staccato,3,5,4
57,19.893182,19.975,,spiccato,0,1,1
63,20.020455,20.090909,,spiccato,1,1,1
71,20.138636,20.188636,,spiccato,2,1,1
78,20.236364,20.277273,,spiccato,3,1,1
78,20.318182,20.363636,,spiccato,3,1,1
71,20.415909,20.456818,,spiccato,2,1,1
63,20.509091,20.554545,,spiccato,1,1,1
57,20.595455,20.643182,,spiccato,0,1,1
56,20.677273,20.740909,,spiccato,0,1,1
64,20.788636,20.822727,,spiccato,1,1,1
71,20.868182,20.915909,,spiccato,2,1,1
80,20.961364,20.984091,,spiccato,3,1,2
83,21.036364,21.170455,,staccato,3,3,2
88,21.263636,21.513636,,staccato,3,4,4
57,21.659091,21.752273,,spiccato,0,1,1
63,21.797727,21.85,,spiccato,1,1,1
71,21.902273,21.947727,,spiccato,2,1,1
78,21.995455,22.029545,,spiccato,3,1,1
78,22.081818,22.134091,,spiccato,3,1,1
71,22.181818,22.234091,,spiccato,2,1,1
63,22.272727,22.309091,,spiccato,1,1,1
57,22.35,22.395455,,spiccato,0,1,1
56,22.443182,22.5,,spiccato,0,1,1
64,22.552273,22.563636,,spiccato,1,1,1
71,22.615909,22.656818,,spiccato,2,1,1
80,22.690909,22.720455,,spiccato,3,1,2
83,22.761364,22.9,,staccato,3,1,4
88,23.004545,23.295455,,staccato,3,4,4
57,23.445455,23.556818,,,0,1,1
73,23.65,23.818182,,release,2,1,2
81,23.65,23.818182,,release,3,1,3
59,23.893182,23.963636,,,0,1,2
68,24.020455,24.154545,,release,1,1,3
76,24.020455,24.154545,,release,2,3,2
83,24.020455,24.154545,,release,3,3,2
61,24.252273,24.370455,,,0,1,3
69,24.434091,24.572727,,release,2,1,0
76,24.434091,24.572727,,release,2,3,2
85,24.434091,24.572727,,release,3,3,3
60,24.670455,24.786364,,,0,1,3
70,24.886364,25.065909,,release,2,1,1
76,24.886364,25.065909,,release,3,1,0
84,24.886364,25.065909,,release,3,3,3
59,25.159091,25.252273,,,0,1,2
68,25.315909,25.436364,,release,1,1,3
76,25.315909,25.436364,,release,2,3,2
83,25.315909,25.436364,,release,3,3,2
59,25.536364,25.606818,,,0,2,1
66,25.652273,26.029545,,release,1,1,2
75,25.652273,26.029545,,release,2,3,1
83,25.652273,26.029545,,release,3,3,2
64,26.122727,26.720455,,,1,1,1
71,26.727273,27.736364,,release,2,1,1
80,26.727273,27.736364,,release,3,1,2
88,26.727273,27.736364,,release,3,4,4
64,28.131818,28.211364,,spiccato,1,1,1
67,28.263636,28.352273,,spiccato,1,1,3
71,28.397727,28.456818,,spiccato,2,1,1
76,28.502273,28.572727,,spiccato,3,1,0
76,28.629545,28.693182,,spiccato,3,1,0
71,28.745455,28.804545,,spiccato,2,1,1
67,28.856818,28.909091,,spiccato,1,1,3
64,28.961364,29.025,,spiccato,1,1,1
63,29.084091,29.147727,,spiccato,1,1,1
66,29.193182,29.245455,,spiccato,1,1,2
71,29.290909,29.343182,,spiccato,2,1,1
78,29.390909,29.443182,,spiccato,3,1,1
78,29.495455,29.565909,,spiccato,3,1,1
71,29.618182,29.663636,,spiccato,2,1,1
66,29.709091,29.768182,,spiccato,1,1,2
